发货时间,订单号,物流公司,运单号,包裹状态
2025-02-10 15:30:18,250209-510320985741488,中通快递,78481513364406	,转运中
2025-02-10 15:30:18,250209-097999982982179,中通快递,78481513364334	,转运中
2025-02-10 15:29:51,250210-225066412381780,中通快递,78481513353250	,转运中
2025-02-10 15:29:29,250210-681364723270994,中通快递,78481513343136	,转运中
2025-02-10 15:29:29,250210-562602985101844,中通快递,78481513343396	,转运中
2025-02-10 15:29:29,250210-397253025423093,中通快递,78481513364413	,转运中
2025-02-10 15:29:29,250210-268404016750384,中通快递,78481513351349	,转运中
2025-02-10 15:29:29,250210-204566699541791,中通快递,78481513351556	,转运中
2025-02-10 15:29:29,250209-386861667841048,中通快递,78481513364242	,转运中
2025-02-10 15:29:29,250209-261231798571028,中通快递,78481513351336	,转运中
2025-02-10 15:29:05,250210-508695755132853,中通快递,78481513343368	,转运中
2025-02-10 15:29:05,250210-359336547952935,中通快递,78481513364110	,转运中
2025-02-10 15:29:05,250209-456633956742996,中通快递,78481513343496	,转运中
2025-02-10 15:18:00,250209-672315491860709,中通快递,78481525385459	,转运中
2025-02-10 15:16:36,250210-365460253072330,中通快递,78481520786570	,转运中
2025-02-10 15:16:36,250209-464686947882576,中通快递,78481520784337	,转运中
